Capítulo,PERSONAGEM CENTRAL,LOCALIZAÇÃO,CONTEXTO,ENSINAMENTO PRINCIPAL,MANIFESTAÇÕES MIRACULOSAS,DIÁLOGO PRINCIPAL,ASSEMBLEIA PRESENTE,PROGRESSÃO ESPIRITUAL,TRANSIÇÃO,ELEMENTOS ÚNICOS
CAPÍTULO 01: THE SETTING,O Buda (Bhagavat).,"Jetavana, no parque de Anāthapiṇḍada em Śrāvastī.","O Buda está em um kūṭāgāra (pavilhão) magnificamente adornado em Jetavana, preparando-se para um grande ensinamento. O capítulo serve como o cenário cósmico para toda a sutra.","Em resposta ao pedido, o Buda não oferece um ensinamento verbal. Em vez disso, ele entra no samādhi chamado ""O Rugido do Leão"" (G gaping Lion). Este ato meditativo é o próprio ensinamento, uma manifestação de poder que transforma a realidade e prepara o cenário para as revelações que se seguirão.","A entrada no samādhi desencadeia uma transformação cósmica:; -  Expansão de Jetavana: O parque se expande para conter o universo, adornado com decorações de joias inconcebíveis, refletindo a vastidão da mente do Buda.; -  Reflexo Universal: Esta transformação se espelha simultaneamente em incontáveis reinos búdicos nas dez direções.; -  Chegada dos Bodhisattvas: Dez grandes bodhisattvas, cada um vindo de um reino búdico distante em cada uma das dez direções (Leste, Sul, Oeste, Norte, as quatro intermediárias, nadir e zênite), chegam com seus imensos séquitos. Cada um traz nuvens de oferendas milagrosas únicas (flores, perfumes, joias, estandartes, luz, etc.) para homenagear o Buda, preenchendo o céu.","A assembleia, reconhecendo a profundidade inconcebível do poder e da sabedoria do Buda, faz uma longa e detalhada súplica. Eles pedem ao Buda para ensinar não apenas o Dharma, mas para revelar toda a sua jornada: desde suas práticas de bodhisattva em vidas passadas, a purificação de seus reinos búdicos, até a manifestação de seus poderes, o giro da Roda do Dharma e como ele interage com todos os seres.","Uma vasta assembleia composta por: 5.000 bodhisattvas, liderados por figuras proeminentes como Samantabhadra e Mañjuśrī (o texto lista exaustivamente centenas de nomes para ilustrar a magnitude); 500 śrāvakas com poderes miraculosos, incluindo Śāriputra e Maudgalyāyana; e incontáveis senhores do mundo (devas, etc.) que são devotos do Mahāyāna.","O capítulo estabelece uma distinção crucial na capacidade de percepção da assembleia. Os bodhisattvas e outros seres com mérito e aspiração Mahāyāna conseguem perceber plenamente as manifestações milagrosas. Em contraste, os grandes śrāvakas, embora fisicamente presentes, são completamente incapazes de ver, ouvir ou perceber qualquer um desses milagres.","O capítulo termina com cada um dos dez bodhisattvas visitantes recitando versos que louvam o Buda, sua sabedoria e os milagres que testemunharam. Isso solidifica a magnificência do cenário e prepara a assembleia para o ensinamento que será articulado por Samantabhadra no capítulo seguinte.","-  A Cegueira dos Śrāvakas: O sutra dedica uma longa seção para explicar por que os śrāvakas não conseguem ver os milagres, usando múltiplas analogias (pretas que não veem o Ganges, um homem sonhando com um palácio divino, pessoas sem conhecimento de ervas na Himalaia). A razão é a diferença fundamental em suas aspirações e méritos, focados no benefício próprio em vez da onisciência para o bem de todos.; -  Estrutura Simétrica: A chegada altamente estruturada dos dez bodhisattvas das dez direções, cada um com um tipo específico de oferenda, estabelece um padrão cósmico e simétrico para a narrativa.; -  Ensinamento Não-Verbal: O principal ""ensinamento"" do Buda neste capítulo é uma manifestação de samādhi, não um discurso."
CAPÍTULO 02: SAMANTA BHADRA,O Bodhisattva Samantabhadra.,Jetavana.,"Após o Buda entrar no samādhi ""O Rugido do Leão"", o bodhisattva Samantabhadra assume a liderança para explicar a profundidade desse estado à assembleia.","O Ensinamento Decenal sobre o samādhi do Buda: Samantabhadra articula a vastidão do samādhi através de dez ensinamentos interconectados, baseados no princípio da ""igualdade"" (sameness) de todos os aspectos da realidade. Estes ensinamentos descrevem a capacidade de perceber:; 1.  A sucessão de todos os budas dentro de cada átomo.; 2.  As qualidades de um tathāgata se estendendo por todos os kalpas futuros.; 3.  A aparência simultânea de tathāgatas em todos os reinos búdicos.; 4.  As assembleias de bodhisattvas em todos os bodhimaṇḍas do universo.; 5.  Emanações de corpos de buda de cada poro em um instante.; 6.  A unificação de todos os reinos búdicos em um único campo.; 7.  As manifestações búdicas aparecendo em todas as superfícies de suporte nos três tempos.; 8.  As manifestações búdicas em sucessões de reinos tão numerosas quanto os átomos.; 9.  As orações de todos os budas sendo expressas de cada poro.; 10. O poder dos budas, tronos, assembleias e o giro da Roda do Dharma sendo tão extensos quanto o próprio reino dos fenômenos.","-    A Luz do Buda: Para confirmar o ensinamento, o Buda emite de sua ūrṇā (tufo de cabelo entre as sobrancelhas) um grande raio de luz chamado ""iluminação dos três tempos focada em todas as entradas para o reino do Dharma"". Essa luz ilumina todos os reinos do universo.; -    Visão da Assembleia: Banhados por essa luz, os bodhisattvas ganham a capacidade de ver diretamente os conceitos que Samantabhadra acabou de descrever. Eles testemunham budas atingindo a iluminação, girando a Roda do Dharma e manifestando-se em incontáveis formas e locais, como as moradas de devas, nāgas e yakṣas.; -    Emanações da Assembleia: Tomados por grande alegria, os próprios bodhisattvas na assembleia começam a emanar de seus corpos, tronos e de todo o Jetavana uma profusão de nuvens de oferendas, luzes, sinos, música e corpos de bodhisattvas que preenchem o universo, ecoando a manifestação do Buda e demonstrando sua própria realização.","Samantabhadra primeiro ensina em prosa e depois recita versos poéticos para reforçar os dez pontos. No final do capítulo, após as manifestações do Buda, Mañjuśrī também recita versos, observando e louvando os milagres que emanam da assembleia.","A grande assembleia de bodhisattvas reunida em Jetavana. Eles não são apenas ouvintes passivos, mas participantes ativos que, após serem iluminados pela luz do Buda, manifestam seus próprios poderes miraculosos.","O capítulo demonstra um processo pedagógico em três etapas: 1) Ensinamento teórico (Samantabhadra). 2) Confirmação experiencial (a luz do Buda e a visão da assembleia). 3) Expressão da realização (as emanações da própria assembleia, que passa a guiar ativamente outros seres).","O capítulo solidifica a base cosmológica do sutra e prepara o terreno para a jornada que se seguirá, com a introdução do próximo kalyāṇamitra.","-    A Estrutura dos Dez Ensinamentos: A apresentação altamente estruturada dos dez pontos é a espinha dorsal do capítulo.; -    Interação Dinâmica: O fluxo de ação entre Samantabhadra (ensinando), o Buda (demonstrando) e a assembleia (percebendo e depois manifestando) cria uma narrativa em camadas."
CAPÍTULO 03: MAÑJUŚRĪ,"Mañjuśrī Kumāra Bhūta, que atua como o primeiro guia, e Sudhana, o jovem filho de um mercador que se torna o protagonista principal da jornada.","A narrativa começa em Jetavana e segue Mañjuśrī em uma jornada para o sul, até a cidade de Dhanyākara e a floresta sagrada de Vicitra sāla dhvaja vyūha nas proximidades.","Mañjuśrī parte de Jetavana com um vasto séquito. Śāriputra, vendo as qualidades de Mañjuśrī, segue-o com 60 monges recém-ordenados. O foco principal então se volta para o encontro de Mañjuśrī com a população de Dhanyākara, culminando em sua interação com o jovem Sudhana.","Mañjuśrī ensina aos 60 monges as ""dez motivações incansáveis"" para entrar no Mahāyāna, como a motivação para servir todos os budas, buscar todos os Dharmas e purificar todos os reinos búdicos. Para Sudhana, ele enfatiza que a base de toda a prática do bodhisattva é encontrar e seguir sem se cansar os ""kalyāṇamitras"" (amigos espirituais).","Śāriputra descreve as manifestações miraculosas do corpo e do caminho de Mañjuśrī. Ao ouvir os ensinamentos de Mañjuśrī, os 60 monges atingem um samādhi que lhes permite ver todos os budas nas dez direções e ganham dez mil tipos de aspirações e samādhis. A história do nascimento de Sudhana também é milagrosa, com tesouros e potes de substâncias preciosas aparecendo espontaneamente em sua casa.","O capítulo apresenta múltiplos diálogos: 1) Śāriputra descreve as qualidades de Mañjuśrī para os monges. 2) Os monges expressam sua aspiração a Mañjuśrī. 3) Mañjuśrī ensina aos monges. 4) Sudhana, após ouvir Mañjuśrī, segue-o e o louva com versos poéticos, pedindo para ser ensinado sobre a conduta do bodhisattva.","A assembleia é dinâmica, começando com o séquito de Mañjuśrī e os 60 monges. Mais tarde, em Dhanyākara, inclui leigos, leigas, e os filhos e filhas de mercadores, notavelmente o jovem Sudhana, que se junta ao grupo.","Os 60 monges atingem a irreversibilidade no caminho. O ponto crucial é o despertar da aspiração à iluminação em Sudhana, que se torna o fio condutor para o restante do sutra. Ele aprende que a progressão depende da busca ativa por guias espirituais.","Este capítulo serve como a verdadeira introdução à peregrinação de Sudhana. Após inspirá-lo, Mañjuśrī o direciona a encontrar seu primeiro kalyāṇamitra, o monge Meghaśrī, na montanha Sugrīva, na terra de Rāmāvarānta. A despedida de Sudhana é marcada por lágrimas, mostrando sua profunda devoção.",-  A Introdução do Protagonista: Este capítulo marca a transição do cenário geral para a jornada pessoal de Sudhana. -  O Conceito de Kalyāṇamitra: A importância do amigo ou guia espiritual é estabelecida como o princípio fundamental da jornada. -  Louvor Poético: Os longos e belos versos de Sudhana para Mañjuśrī demonstram a importância da devoção e da aspiração no caminho.
CAPÍTULO 04: MEGHAŚRĪ,O bhikṣu (monge) Meghaśrī.,"Montanha Sugrīva, na terra de Rāmāvarānta.","Seguindo a instrução de Mañjuśrī, Sudhana viaja para a montanha Sugrīva. Ele procura perseverantemente por Meghaśrī durante sete dias em todas as direções da montanha, demonstrando sua dedicação e determinação na busca por um guia espiritual.","A Liberação através da ""Atenção Plena nos Budas"" (Mindfulness of the Buddhas). A realização de Meghaśrī é uma capacidade visionária que lhe permite, ao olhar em qualquer direção, perceber um número inconcebível e exponencialmente crescente de Budas, juntamente com seus reinos, auras, assembleias e ensinamentos distintos.","A principal manifestação é a própria visão de Meghaśrī. Não há milagres externos, mas a descrição de sua percepção interna: ele vê em todas as dez direções um número de Budas que cresce de dez a um número igual aos átomos em incontáveis reinos búdicos. Ele também percebe as qualidades distintas de cada um desses Budas.","Após encontrar Meghaśrī caminhando em um platô, Sudhana se prostra e faz a pergunta que se tornará o padrão em sua jornada: ""Como um bodhisattva deve treinar na conduta de um bodhisattva?"". Meghaśrī elogia a aspiração de Sudhana, enfatiza a dificuldade da busca e, em seguida, descreve sua própria realização como resposta.","Não há uma assembleia formal. O encontro é focado em Sudhana e no bhikṣu Meghaśrī, que está caminhando sozinho em um platô na montanha.","O ensinamento expande radicalmente a perspectiva de Sudhana, mostrando-lhe a vastidão do universo búdico e a escala da prática. A lição implícita é que o caminho do bodhisattva começa com a capacidade de visualizar e se conectar com o campo búdico infinito.","Meghaśrī, em um ato de humildade, admite que sua realização, embora vasta, está limitada a este portal do Dharma. Ele reconhece que outros bodhisattvas possuem samādhis ainda mais profundos e direciona Sudhana para seu próximo kalyāṇamitra, o bhikṣu Sāgaramegha, que reside no distrito de Sāgaramukha.","-  A Busca Perseverante: A busca de sete dias de Sudhana estabelece sua determinação como peregrino.; -  Visão Exponencial: A descrição da visão dos Budas em números que crescem exponencialmente é uma característica literária marcante para transmitir a ideia de infinitude.; -  Humildade do Mestre: Meghaśrī prontamente admite os limites de seu próprio conhecimento, estabelecendo um padrão para os encontros subsequentes de Sudhana."
CAPÍTULO 05: SĀGARAMEGHA,O bhikṣu (monge) Sāgaramegha.,"Na costa do oceano, em um distrito chamado Sāgaramukha.","Após contemplar por doze anos a vastidão do oceano, questionando se existia algo maior, Sāgaramegha tem uma visão transformadora que se torna a base de seu ensinamento. Sudhana o encontra e faz uma série de perguntas poéticas sobre como um bodhisattva avança no caminho.","A Liberação através da Contemplação da Vastidão e do Recebimento do Dharma. Sāgaramegha ensina o portal do Dharma chamado ""Olhos que Tudo Veem"" (All-Seeing Eyes), que lhe foi transmitido diretamente por um Tathāgata que surgiu de uma visão. Este ensinamento é tão vasto que todo o oceano como tinta não seria suficiente para escrevê-lo.","A principal manifestação é a visão de um gigantesco lótus de joias surgindo do oceano, sustentado por asuras e reverenciado por uma vasta assembleia de seres (nāgas, garuḍas, devas, etc.). No centro do lótus, Sāgaramegha vê um corpo de Tathāgata, cuja forma se estende até o cume da existência, que então lhe transmite o ensinamento.","Sudhana expressa sua aspiração e faz perguntas poéticas sobre a jornada do bodhisattva. Sāgaramegha primeiro elogia a motivação de Sudhana, descreve os pré-requisitos para a aspiração à iluminação e depois narra a longa contemplação do oceano que culminou em sua visão e recebimento do Dharma.","A assembleia é visionária, composta por seres mitológicos (nāgas, asuras, etc.) que reverenciam o lótus cósmico. Após sua realização, Sāgaramegha também ensina a seres das dez direções que o procuram.","Sudhana aprende que a profunda contemplação da natureza pode levar a visões transformadoras e ao recebimento direto de ensinamentos. Ele compreende que mesmo um ensinamento tão profundo é apenas um portal entre muitos, reforçando a vastidão do caminho do bodhisattva.","Sāgaramegha, assim como seu predecessor, reconhece a limitação de seu conhecimento. Ele afirma que só conhece este portal do Dharma e direciona Sudhana para seu próximo kalyāṇamitra, o bhikṣu Supratiṣṭhita, que reside em Sāgaratīra, no caminho para Laṅka.","-  Contemplação da Natureza: O uso da contemplação do oceano como método para abrir a mente à vastidão do Dharma.; -  O Lótus Cósmico: A imagem do lótus gigante com um Buda em seu centro é uma das visões mais poderosas do sutra.; -  Recebimento Direto do Dharma: O ensinamento é uma transmissão direta de um Tathāgata visionário, destacando a natureza experiencial e reveladora do caminho."
CAPÍTULO 06: SUPRATIṢṬHITA,O bhikṣu (monge) Supratiṣṭhita.,"Sāgaratīra, na região de Laṅka.","Sudhana encontra Supratiṣṭhita não em terra, mas caminhando no céu, como o centro de uma vasta procissão cósmica, sendo reverenciado com oferendas por uma imensa assembleia de seres celestiais e mitológicos que o acompanham.","A Liberação do ""Portal Sem Impedimentos"" (unimpeded gateway). A realização de Supratiṣṭhita é a ""luz da sabedoria chamada o ápice sem impedimentos"", que se baseia na ""presença sem substância"" e lhe confere poderes miraculosos não-compostos. Isso resulta na ausência total de obstáculos para conhecer as mentes de todos os seres, o passado e o futuro, e para viajar e fazer oferendas a todos os Budas no universo em um único instante.","O capítulo é uma demonstração espetacular de poder: -  Caminhada no Céu: Supratiṣṭhita caminha serenamente no céu. -  Poderes de Transformação: Ele pode se tornar invisível, emanar fogo, multiplicar seu corpo, atravessar objetos sólidos e dominar os elementos. -  Onipresença: Em um único instante mental, ele viaja para incontáveis reinos búdicos nas dez direções para fazer oferendas a todos os Budas simultaneamente.","Sudhana, maravilhado com a visão, se prostra e pede ensinamentos. Supratiṣṭhita explica detalhadamente sua liberação, o ""portal sem impedimentos"", e como, a partir da realização da ""presença sem substância"", ele manifesta seus poderes miraculosos para servir a todos os Budas e guiar os seres.","Uma vasta assembleia cósmica que o acompanha no céu, incluindo: devas, nāgas, kinnaras, mahoragas, asuras, garuḍas, yakṣas, rākṣasas, senhores Brahmakāyika e devas Śuddhāvāsa, cada um prestando um tipo único de homenagem.","Sudhana aprende que a realização espiritual transcende completamente as leis físicas. Ele testemunha um nível de poder e liberdade que demonstra que para um bodhisattva realizado não há separação entre os reinos, e não há limites para a capacidade de perceber a realidade e servir aos Budas.","Supratiṣṭhita humildemente admite que conhece apenas este portal de liberação e não pode compreender a conduta dos bodhisattvas com realizações ainda mais vastas. Ele então direciona Sudhana para seu próximo kalyāṇamitra: o dravidiano Megha, na cidade de Vajrapura, na terra de Draviḍa.","-  Poderes Miraculosos Extremos: O capítulo oferece uma das descrições mais vívidas e extensas de poderes psíquicos (siddhis) no sutra.; -  Presença Sem Substância: Conceito fundamental que liga o poder miraculoso à sabedoria da vacuidade.; -  O Mestre em Movimento: Ao contrário dos mestres anteriores, ele ensina enquanto está em movimento celestial, exemplificando a natureza dinâmica de sua realização."
CAPÍTULO 07: MEGHA,"Megha, um dravidiano que ensina o Dharma.","A cidade de Vajrapura, na terra de Draviḍa.","Sudhana encontra Megha em um pátio, sentado em um trono de leão, ensinando a ""exibição da roda giratória das sílabas"" para uma assembleia de dez mil seres. Ele representa a maestria da comunicação universal para guiar todos os seres.","A Liberação através do ""Poder de Retenção de Sarasvatī"". Esta realização confere a Megha o conhecimento completo de todas as linguagens (divinas, humanas, animais, etc.) em incontáveis reinos. Ele pode compreender a fala de todos os Budas dos três tempos e ensinar o Dharma de forma perfeitamente adaptada a cada ser.","Enquanto Megha louva as qualidades de um bodhisattva, uma massa de raios de luz emana de sua boca, iluminando um bilhão de mundos. Essa luz atrai uma vasta assembleia de seres poderosos (devas, nāgas, etc.) que, ao ouvirem seu ensinamento, se tornam irreversíveis no caminho para a iluminação.","Após a pergunta de Sudhana, Megha se levanta, prostra-se completamente diante de Sudhana e faz oferendas a ele, em um ato de reverência ao caminho do bodhisattva. Ele então louva extensamente as qualidades de um bodhisattva com muitas metáforas (terra, oceano, sol) antes de explicar sua própria realização.","Inicialmente dez mil seres. Após a manifestação da luz, uma vasta assembleia de devas, nāgas, yakṣas e outros seres com poderes miraculosos é atraída e se junta ao ensinamento.","Sudhana aprende que a maestria do Dharma inclui a maestria da comunicação. A verdadeira compreensão se manifesta como a capacidade de entender e se conectar com todos os seres através de suas próprias linguagens, guiando-os efetivamente para o despertar.","Megha admite que seu conhecimento se limita a este portal da linguagem universal e não pode compreender a totalidade da conduta dos bodhisattvas. Ele direciona Sudhana para encontrar o chefe de família (householder) Muktaka, na cidade de Vanavāsī.","-  A prostração do mestre (Megha) diante do discípulo (Sudhana), um raro ato de humildade e respeito pelo caminho.; -  A realização focada especificamente na linguagem universal (Poder de Retenção de Sarasvatī).; -  O extenso louvor poético de Megha às qualidades de um bodhisattva, usando múltiplas analogias da natureza."
CAPÍTULO 08: MUKTAKA,O chefe de família (householder) e comerciante Muktaka.,A cidade de Vanavāsī.,"Sudhana viaja por doze anos, demonstrando uma perseverança extraordinária, até finalmente encontrar Muktaka. Ele se aproxima com grande humildade, expressando a alegria pela raridade de encontrar um verdadeiro kalyāṇamitra e detalha sua vasta aspiração de servir a todos os Budas e Bodhisattvas.","A Liberação da ""Exposição Sem Impedimentos"" (unimpeded display). A lição central, revelada através de uma visão milagrosa e de uma instrução direta, é que toda a jornada espiritual, incluindo as visões de Budas e reinos búdicos, é uma manifestação e bênção da própria mente do praticante. Ele ensina que os Budas não vêm de outro lugar, nem o praticante vai a outro lugar; a percepção é como um sonho ou um reflexo. A chave é cultivar a própria mente.","Ao entrar em samādhi, do corpo purificado de Muktaka, Sudhana testemunha uma manifestação inconcebível: incontáveis reinos búdicos nas dez direções, cada um com seu Buda, assembleia, ensinamentos e o ciclo de vida completo de seus Budas — do nascimento ao parinirvāṇa — tudo acontecendo simultaneamente, sem obstrução, dentro do corpo de Muktaka.","Sudhana faz uma longa e detalhada súplica sobre sua aspiração. Em resposta, Muktaka entra em samādhi. Ao emergir, ele explica que a visão que Sudhana teve não é um evento externo, mas uma manifestação da própria mente de Sudhana, abençoada pelo poder de sua prática. Ele usa as analogias do sonho, reflexo e eco para ilustrar este ponto.",Não há uma assembleia externa descrita. O foco está na interação direta entre Sudhana e Muktaka e na visão interna que Sudhana tem da assembleia de incontáveis Budas dentro do corpo de Muktaka.,"Sudhana recebe um dos ensinamentos mais profundos até o momento: a natureza da realidade espiritual como uma projeção da mente. Ele aprende que a jornada não é sobre viajar para reinos externos, mas sobre purificar a própria mente a ponto de ela poder refletir a realidade búdica, marcando uma transição da busca externa para a realização interna.","Muktaka, seguindo o padrão, admite que conhece apenas esta liberação e não pode compreender a conduta dos bodhisattvas cuja sabedoria é como um oceano. Ele direciona Sudhana para seu próximo guia: o bhikṣu Sāgaradhvaja, que reside em Milaspharaṇa, na ponta do continente de Jambudvīpa.",-  Jornada de Doze Anos: A longa duração da busca de Sudhana enfatiza a importância da perseverança.; -  O Poder da Mente: Este é o primeiro capítulo a declarar explicitamente que a realização espiritual surge da própria mente do praticante.; -  Visão Dentro do Corpo: A manifestação de universos inteiros dentro do corpo do kalyāṇamitra é uma poderosa demonstração do princípio de que o macrocosmo está contido no microcosmo.
CAPÍTULO 09: SĀGARADHVAJA,O bhikṣu (monge) Sāgaradhvaja.,"Milaspharaṇa, na ponta do continente de Jambudvīpa.","Sudhana encontra Sāgaradhvaja sentado em profunda meditação, imóvel e sem respirar. Ele permanece assim por seis meses e seis dias, enquanto Sudhana o observa pacientemente. Durante este período, o corpo do monge se torna o epicentro de uma extraordinária exibição cósmica de atividade iluminada, emanando as Dez Perfeições (Pāramitās) de cada parte de seu corpo.","A Liberação da ""Visão Completa da Realização da Equanimidade"". O ensinamento não é verbal, mas uma demonstração direta através de seu samādhi. Ele manifesta, de cada parte de seu corpo, emanações que correspondem à prática e ao resultado das Dez Perfeições, mostrando como a realização de um bodhisattva beneficia ativamente todos os seres.","Este capítulo contém uma das mais elaboradas descrições de manifestações do sutra. Emanando de partes específicas do corpo de Sāgaradhvaja, Sudhana testemunha as Dez Perfeições em ação: Generosidade (Dāna) dos pés, Disciplina (Śīla) dos joelhos, Paciência (Kṣānti) do umbigo, Diligência (Vīrya) dos lados, Meditação (Dhyāna) do peito, e assim por diante, culminando com emanações de corpos de Tathāgata de sua cabeça, chovendo o Dharma sobre todos.","O diálogo ocorre somente após Sāgaradhvaja emergir de sua meditação de seis meses. Sudhana, maravilhado, pergunta o nome do samādhi. Sāgaradhvaja explica que é a ""perfeição da sabedoria chamada a visão completa da realização da equanimidade"" e, como os outros, admite conhecer apenas este portal.","A assembleia é inteiramente visionária e multifacetada, emanada do próprio corpo de Sāgaradhvaja. Inclui comerciantes praticando generosidade, reis sábios, ṛṣis, nāgas, asuras, śrāvakas, e até mesmo emanações de sóis, luas e dos próprios Budas.",Sudhana aprende através da observação direta como a realização de um único ser se manifesta como uma atividade compassiva universal e multifacetada. A longa duração de sua observação simboliza a paciência e a devoção necessárias para compreender a profundidade da conduta de um bodhisattva.,"Sāgaradhvaja, ao emergir, confirma o nome de sua prática, mas humildemente admite que só conhece este portal. Ele direciona Sudhana para seu próximo guia, a upāsikā (praticante leiga) Āśā, na cidade de Mahāprabhāsa, em uma terra chamada Samudravetāḍī.","-  Emanações Corporais Específicas: A correlação detalhada entre partes do corpo e as Dez Perfeições é única, transformando o corpo do meditador em um mandala cósmico.; -  As Dez Perfeições em Ação: O capítulo oferece uma visualização vívida de como cada perfeição se traduz em atividade compassiva no mundo.; -  Meditação Prolongada: A meditação de Sāgaradhvaja e a paciente observação de Sudhana enfatizam a importância da estabilidade e concentração."
CAPÍTULO 10: ĀŚĀ,"Ratnacūḍa, um chefe mercador e patrono do Dharma.","A cidade de Siṃhapota, em um mercado movimentado, e sua casa de dez andares.","Sudhana encontra Ratnacūḍa e é convidado para sua casa, uma estrutura magnífica de dez andares, que funciona como um mandala tridimensional da jornada do bodhisattva. Cada andar revela um estágio mais elevado da prática e da realização, demonstrando o progresso através dos bhūmis (níveis de bodhisattva).","A liberação do bodhisattva chamada ""a exibição sem impedimentos do campo da oração"". O ensinamento central é sobre o poder da dedicação do mérito. Ratnacūḍa explica que toda a sua vasta fortuna e habilidade de ensinar o Dharma surgiram de um único ato de generosidade em uma vida passada — oferecer um grão de incenso a um Buda — que ele então dedicou a três objetivos: ver todos os kalyāṇamitras, todos os Budas e todos os bodhisattvas.","A casa de dez andares é a principal manifestação. Cada andar representa um nível de prática: -  Andares inferiores: Práticas fundamentais como a generosidade de comida e roupas. -  Quinto andar: Bodhisattvas do quinto bhūmi discutindo os tratados. -  Sexto andar: Bodhisattvas praticando a perfeição da sabedoria. -  Sétimo andar: Bodhisattvas irreversíveis. -  Oitavo andar: Bodhisattvas manifestando-se em todos os reinos. -  Nono andar: Bodhisattvas em sua última vida. -  Décimo andar: A visão completa de todos os Tathāgatas, desde suas primeiras aspirações até o parinirvāṇa.","Sudhana, maravilhado com a casa, pergunta a Ratnacūḍa sobre a causa de sua boa fortuna. Ratnacūḍa narra a história de sua oferenda de incenso ao Buda Anantaraśmidharmadhātusamalaṃkṛtadharmarāja e sua subsequente dedicação tripla do mérito, explicando que este ato único foi a semente para todas as suas realizações atuais.","Cada andar da casa tem sua própria assembleia de bodhisattvas, correspondendo ao nível de realização daquele andar, culminando com a visão de todos os Budas no décimo andar.","Sudhana aprende sobre o poder exponencial da dedicação do mérito e como um pequeno ato, quando dedicado à iluminação de todos os seres, pode gerar resultados inconcebíveis. Ele também ganha uma compreensão visual e hierárquica dos estágios do caminho do bodhisattva através da arquitetura da casa.","Ratnacūḍa humildemente admite que só conhece este portal da liberação e direciona Sudhana para encontrar o vendedor de perfumes Samantanetra na cidade de Samantamukha, na terra de Vetramūlaka.",O uso da arquitetura como uma metáfora para os estágios do caminho espiritual. A demonstração do poder de um único ato de generosidade e da dedicação do mérito. A narrativa de uma vida passada como a causa direta das circunstâncias presentes.
